Image,Text,Summary,Model Output
1130,"What are the women's thoughts on the government? <s> Trump has appointed a greater share of women judges than any other Republican presidents <s> Trump has appointed a greater share  | of women judges than ooher  | Republican presidents  | Women as a share ofjudges appointed under  | As of Sept  | Trump  | 28% 30, As of 2018 Sept  | Obama  | 42  | GW Bush  | 22  | Clinton  | 28  | Bush  | 19  | Reagan  | Democrat  | Republican  | Carter  | 16  | Ford  | 2  | Nixon <1  | Johnson 2  | Kennedy <1  | Eisenhower <1  | Truman <1  | Roosevelt <1  | Hoover 0  | Coolidge  | 1  | Note: Includes only appointed Article III federal judges.  | Excludes nominees  | Source: Pew Research Conter analysis of Federal Judicial  | Center data.  | PEW RESEARCH CENTER ","Women account for more than a quarter ( 28 % ) of the judges President Donald Trump has successfully appointed to the federal courts since taking office . That ’s well below the share appointed by Barack Obama – whose judicial appointees were a record 42 % female – but higher than the share appointed by any other Republican president , according to a Pew Research Center analysis of data from the Federal Judicial Center . In both parties , presidents have appointed a growing share of female judges in recent decades . Women represented 22 % of the judges appointed by Republican George W. Bush during his eight years in office , 19 % of the judges appointed by George H.W. Bush and 8 % of the judges appointed by Ronald Reagan .","Trump has appointed a 28 % share of women judges as of Sept. 30, compared with 28 % of all other Republican presidents."
945,"Describe the proportion of Americans who think economic relations between the US and China are bad? <s> Party and education play significant role in views of U.S.-China economic ties. <s> Party, education plays significant role in  | views of U.S. China plays economic ties  | % who say current economic ties between the U.S. and  | China are  | Bad  | Good  | TOTAL  | 53%  | 41%  | Rep/Lean Rep  | 48  | 49  | Dem/Lean Dem  | 61  | 36  | 18-29  | 58  | 38  | 30-49  | 52  | 43  | 50+  | 53  | 43  | College grad+ 64  | 35  | No college degree  | 50  | 45  | Note: Don't know responses not shown.  | Source: Spring 2019 Global Attitudes Survey, Q37b.  | PEW RESEARCH CENTER ","Today , just over half of Americans ( 53 % ) believe current economic ties between the U.S. and China are bad",About four - in - ten Americans ( 53 % ) say current economic ties between the U.S. and China are bad.
1594,"Describe the problems about religious violence that Bangladesh is experiencing. <s> Share of countries with highest levels of social hostilities remained stable <s> Share of countries with highest levels  | of social hostilities remained stable  | % of 198 countries with high or very high levels  | of social hostilities involving religion (scores of  | 3.6 and higher)  | 2016  | 27 %  | (54 countries)  | 27  | (53  | 2015  | 2014  | 23  | (45)  | 27  | (53)  | 2013  | 2012  | 33  | (65  | 29  | (57)  | 2011  | 2010  | 24  | (47  | 2009  | 18  | 2008  | 18  | 2007  | 20  | Source: Pew Research Center ana lysis of exte rnal data.  | See Methodology for Andeta ils,  | ""Global Uptick in Government Restrictions on Religion  | in 2016""  | PEW RESEARCH CENTER ",Bangladesh experienced an increase in assaults and killings of members of religious groups by social groups or individuals – including multiple instances where people who had expressed atheist views or were accused of offending Islam on the internet were killed or threatened,"In 198 countries, the share of countries with the highest levels of social hostilities involving religion ( 3.6 and higher ) remained stable, while 27 % were stable."
163,"What is the opinion of people regarding national institutions in their country? <s> Most National Institutions Rated Positively, Especially Military <s> Most National Institutions Rated  | Positively, Especially Military  | Is  | having a good or bad influence on the way things  | are going inyour country?  | Bad Good  | Military*  | 79%  | 18%  | Media  | 26  | 70  | Religious leaders  | 20  | 69  | Banks  | 27  | 65  | Corporations  | 28  | 62  | Nat'l government* 38  | 59  | Civil servants 39  | 54  | Courtsystem 44  | 47  | Notasked in Thailand. In Ukraine these questions exclude Crimes  | (roughly 5% ofthe population). Forall other questions institutions in Ukraine,  | results include Crimea  | Note: Numbers indicate medians across emerging and developing  | nations Notasked in China  | Source Spring 2014 Global Attitudes survey. Q38a Q38aUKR,  | Q38cUKR, Q38c-i.  | PEW RESEARCH CENTER ","When asked to rate key institutions in their countries , people generally assign high marks to the military , with a median of 79 % saying it has a good influence on the way things are going in their country . But most major national organizations and groups , such as the media , religious leaders , banks , corporations , the national government and civil servants also get positive marks .","A median of 69 % say the military has a good deal of influence on the country ’s direction, while 69 % say it has a bad influence. A median of 70 % say the military has a good deal of influence on the country ’s direction. A median of 69 % say the military has a bad influence on the country ’s direction. A median of 69 % say the military has a good influence on the country ’s direction."
1660,"What are the current thoughts on direct democracy? <s> Widespread support for representative and direct democracy, but many are also popen to nondemocratic alternatives Would be a good or bad way of governing our country?  <s> Widespread support for representative and direct democracy, but many are also  | popen to nondemocratic alternatives  | Would be a good or bad way of governing our country?  | Representative  | Direct democracy  | Rule by experts  | Rule by a strong  | Rule by the military  | democracy  | leader  | 78%  | 73  | 71  | 66  | 49  | 46  | 30  | 26  | 24  | 17%  | Bad  | Bad  | Bad  | Bad  | Good  | Bad  | Good  | Good  | Good  | Good  | Note: Percenta ges are global medians based on 38 countries. Full question wordings for political: systems: Representative democracy, ""A  | democratic system where representatives elected bycitizens decide whatbecomes law"", Directdemocracy, a democratic system where  | citizens, notelected officials vote directly on majorna tional issues to decide what becomes law""; Rule by experts, Experts, notelected  | officials, ma lke decisions.accordingto whatthey think is bestfor the country"" Rule military, by a strong leader, ""Asystem in which a strong leader can  | make decisions 2017 withoutinterference from parliamentor 0290-0 the courts""; Rule by the military, The military rulesthe country.  | make Source: decisions Spring 2017 withoutinterference Global Attitudes from Survey. parliamentor 0290-0  | PEW RESEARCH CENTER ",A global median of 66 % say direct democracy – in which citizens vote on major issues – would be a good way to govern,"A median of 68 % say direct democracy would be a good way to govern, while a median of 68 % say it would be a bad way"
1690,"What is the distribution of Republicans and Democrafts' different feeling about politics ? <s> In both parties, ideological gaps on whether opposing partisans share goals % of Republicans who say Democrats probably many of their ooher values and goals % of Democrats who say Republicans probably many of their ooher values and goals  <s> In both parties, ideological gaps on  | whether opposing partisans share goals  | % of Republicans who say Democrats probably  | many of their ooher values and goals  | Don'tshare  | Sha re  | Republican  | 41  | 56  | 49  | Conserv  | 47  | Mod/Liberal  | 26  | 73  | % of Democrats who say Republicans probably  | many of their ooher values and goals  | Don't share  | Share  | Democrat  | 38  | 59  | Conserv/Mod  | 35  | 62  | Liberal  | 56  | 42  | Note: Don know responses notshown.  | Source: Survey know conducted responses June notshown. 27-July9, 2017.  | PEW RESEARCH CENTER ",four - in - ten ( 41 % of Republicans and 38 % of Democrats ) say that members of the opposing party “ feel differently about politics,"Roughly two - thirds of Republicans ( 59 % ) say that Democrats probably do not share many of their ooher values and goals, while a similar share of Democrats ( 73 % ) say they do n’t share many of their goals."
336,"What is the opinion of the Blacks and White people towards police treatment of various ethnic and racial groups ? <s> Blacks are about half as likely as whites to have a positive view of police treatment of racial and ethnic groups or officers' use of force <s> Blacks are about half as likely as whites to have a  | positive view of police treatment of racial and ethnic  | groups or officers' muse of force  | % saying the police in their community do an excellent or goodjob when it  | comes to  | Whites Blacks  | 78  | Protecting people  | from crime  | 48  | 75  | Using the right amountof  | force for each situation  | 33  | 75  | Treating racial and ethnic  | groups equally  | 35  | 70  | Holding officers misconduct accountable  | when misconduct occurs  | 31  | Note: Whites and blacks include only non-Hispanics 16-Sept  | Source Survey ofU. S. adults conducted Aug 16-Sept 12 2016.  | ""The Racial Confidence Gapin Police Performance 16-Sept  | PEW RESEARCH CENTER ","Black Americans are far less likely than whites to give police high marks for the way they do their jobs . In a 2016 survey , only about a third of black adults said that police in their community did an “ excellent ” or “ good ” job in using the right amount of force ( 33 % , compared with 75 % of whites ) , treating racial and ethnic groups equally ( 35 % vs. 75 % ) , and holding officers accountable for misconduct ( 31 % vs. 70 % ) .","Blacks are about twice as likely as whites to have a positive view of police treatment of racial and ethnic groups ( 78 % vs. 75 % ), and they are about twice as likely as whites to have a negative view of police treatment of racial and ethnic groups ( 75 % vs. 35 % )."
59,"Describe the trend in the main motivation of voters who voted for Mitt Romney. <s> Romney Romney Is your vote more a vote. For Romney Against Obama <s> More Romney Romney Supporters For  | Romney Romney  | Is your vote more a vote.  | For Romney Against Obama  | 58  | 57  | 45  | 39  | 38  | June  | Sept  | Oct  | PEW RESEARCH CENTER Oct, 24-28, 2012, Q5c.  | Based on registered voters ","For the first time in 2012 , a majority of registered voters who support Romney ( 57 % ) now think of their vote as a vote for Mitt Romney , not as a vote against Barack Obama . As recently as September , just over half of Romney voters ( 52 % ) said their main motivation was their opposition to Obama .",Romney voters are more likely than other voters to say their vote is more a vote ( 58 % vs. 38 % ). Romney voters are more likely than other voters to say their vote is more a vote. Romney voters are more likely than other voters to say their vote is more a vote. Romney voters are more likely than other voters to say their vote is more a vote. Romney voters are more likely than other voters to say their vote is more a vote.
1118,"Describe the most common forms of harassment that young people encounter online? <s> A majority of teens have been the target of cyberbullying, with name-calling and rumor-spreading being the most common forms of harassment <s> a majority of teens have been the target of  | cyberbullying, with name-calling fand rumor-spreading  | being the most common forms of harassment  | % of U.S. teens who say they have experienced online or on their  | cellphone  | Any type of cyber-  | 59  | bullying listed below  | Offensive name-calling  | 42  | Spreading of false rumors  | Receiving they explicit images  | 25  | they didn't fask for  | they Constant asking of where  | they they're are what they're doing  | 21  | who they they're with by someone doing  | other than a parent  | Physical threats  | 16  | Having explicit images of them  | shared without their consent  | Note: Respondents were allowed to select multiple options Those who did not give an  | answer Respondents or gave other response March are not shown. 10 2018.  | Source Survey conducted March 7-April 10 2018.  | ""A Majority of Teens Have Experienced Some Form of Cyberbullying""  | PEW RESEARCH CENTER ","The most common type of harassment youth encounter online is name - calling . Some 42 % of teens say they have been called offensive names online or via their cellphone . Additionally , about a third ( 32 % ) of teens say someone has spread false rumors about them on the internet , while smaller shares have had someone other than a parent constantly ask where they are , who they ’re with or what they ’re doing ( 21 % ) or have been the target of physical threats online ( 16 % ) .","A majority of teens ( 59 % ) have experienced some form of cyberbullying, with 42 % saying they have experienced offensive name - calling online or on their cellphone, 42 % saying they have spread false rumors and receiving explicit images they did n’t ask for, and 25 % saying they have received explicit images they did n’t ask for."
2179,"Describe the Muslim population in the U.S.? <s> Millennials comprise half of Muslim adult population in the U.S. % who are <s> Millennials comprise half of Muslim adult population  | in the U.S.  | % who are  | Baby  | Millennials  | Generation X Boomers  | U.S. Muslims  | 52%  | 32  | 15  | All U.S adults  | 32%  | 27  | 30  | 12  | Millennials  | Generation X Baby Boomers Silent  | Note: Figures may not add to 100% due to rounding. Results repercenta ged to  | exclude Figures nonresponse Silent Ge neration for rounding. all U.S. adults also fino ludes ged members  | of the Greatest Generation.  | Source: Survey conducted Jan 23-May 2 2017 U.S. general public data from  | U.S Census Bureau S 2016 Current 23-May Population Survey general Annual public Social and  | ""U Economic S. Mus slims Supplement.  | ""U S. Mus slims Supplement. Concerned About Their Place in Society, but Continue to Believe  | in the American Dream""  | PEW RESEARCH CENTER ","The Muslim population in the United States is younger than the U.S. population at large . In fact , while Millennials make up 32 % of all U.S. adults , they account for roughly half of American Muslim adults ( 52 % ) .","About half of all U.S. adults ( 52 % ) are Millennials, compared with 52 % of Gen Xers and 32 % of Gen Xers."
