number,id,title,question,img,Gold Standard,BART,T5,Summary 1,Summary 2
0,6950,News the Public is Hearing About IAA lot,How much the defunct satellite crash news spread among public and describe about it?,dataset/images/6950.png,About three - in - ten Americans ( 31 % ) say they heard a lot last week about the defunct satellite that scientists expected to crash into the earth this past weekend . Another 40 % say they heard a little about this . Nearly three - in - ten ( 28 % ) heard nothing at all about the satellite .,"Nearly three - in - ten ( 28 % ) heard nothing at all about the satellite, which broke up and crashed into the South Pacific.",About three - in - ten Americans ( 31 % ) say they heard a lot last week about the defunct satellite that scientists expected to crash into the earth this past weekend. Another 40 % hear a little about this.,BART,Gold Standard
1,623,a large minority majority of tweets come from a small large minority majority of tweeters Share ofall tweets from U.S. adult users created by,What is the distribution of the adult twitter users in the US?,dataset/images/623.png,The most active 10 % of adult Twitter users in the U.S. produce 80 % of all tweets sent by these users,The most active 10 % of adult Twitter users in the U.S. produce 80 % of all tweets sent by these users.,The most active 10 % of adult Twitter users in the U.S. produce 80 % of all tweets sent by these users.,Gold Standard,T5
2,4384,"Prior to Pulwama attack, there was great concern over Pakistan.",Comment on the concern of Pakistan as a threat among Indians?,dataset/images/4384.png,"Most Indians see Pakistan , as a threat . When asked how serious of a danger Pakistan poses for India , about three - quarters in India ( 76 % ) say Pakistan is a threat . Only 7 % of Indians do not see Pakistan as a danger for their country .","about three - quarters in India ( 76 % ) say Pakistan is a threat, including 63 % who say it is a very serious threat. Only 7 % of Indians do not see Pakistan as a danger for their country.","Most Indians see Pakistan, their neighbor to the west, as a threat. About three - quarters in India ( 76 % ) say Pakistan is a threat, including 63 % who say it is a very serious threat. Only 7 % of Indians do not see Pakistan as a danger for their country.",BART,Gold Standard
3,1006,Smartphone owners' preferred way of accessing the internet varies substantially by age,Describe the growth of people who mostly use the internet on a smartphone?,dataset/images/1006.png,"Some 46 % of smartphone owners say when using the internet , they mostly do so on their phone .","Some 46 % of smartphone owners say when using the internet, they mostly do so on their phone. This represents a double - digit increase from 2013, when 34 % of these users said this. At the same time, the share of smartphone users who say a desktop, laptop or tablet computer is their primary device for going online has fallen from 53 % in 2013 to 30 % today.","For those who own a smartphone, these devices now outpace more traditional means of accessing the web. Some 46 % of smartphone owners say when using the internet, they mostly do so on their phone. This represents a double - digit increase from 2013, when 34 % of these users said this.",Gold Standard,BART
4,5652,Netanyahu viewed extremely poorly Views of Israeli Prime Minister Benjamin.Netanyahu,What is the opinion of Lebanese and Jordanians about Israeli Prime Minister Benjamin Netanyahu ?,dataset/images/5652.png,"Israeli Prime Minister Benjamin Netanyahu receives extremely negative ratings from nations in the Middle East and North Africa . Only 7 % in both Tunisia and Turkey , 1 % in Jordan and 0 % in Lebanon have a favorable view of Netanyahu . And the negative opinion in Jordan and Lebanon is particularly intense ; 95 % of Jordanians and 97 % of Lebanese say they have a very unfavorable view","Only 7 % in both Tunisia and Turkey, 1 % in Jordan and 0 % in Lebanon have a favorable view of Netanyahu.","Only 7 % in both Tunisia and Turkey, 1 % in Jordan and 0 % in Lebanon have a favorable view of Netanyahu.",Gold Standard,T5
5,3547,"Hispanic To Lack Health Immigrants Insurance More Likely than U.S-born To Lack Health Insurance Percent without health insurance in 2014 USS overall 14% Hispanics overall 25 U.S. born Hispanics 17 Foreign born Hispanics 39 Foreign- born Hispanics, U.S citizens 21 Foreign born Hispanics, non-citizen 49 Younger than 18 12 Younger than 18 34",What do Hispanics think about health insurance?,dataset/images/3547.png,"one - in - four ( 25 % ) Hispanics lack health insurance , the highest rate of any racial or ethnic group","This year, one - in - four ( 25 % ) Hispanics lack health insurance. About 14 % of the general U.S. population is uninsured.","This year, one - in - four ( 25 % ) Hispanics lack health insurance. About 14 % of the general U.S. population is uninsured.",Gold Standard,T5
6,902,Majority of college educated women say women should have children before entering politics to be successful,"According to the view of the mothers who have children under 18, describe their opinion on women having children while entering politics?",dataset/images/902.png,"Mothers of children younger than 18 are more likely than other women to say a woman who aspires to high political office should wait until she ’s established in her political career before having children . About one - third ( 36 % ) of mothers say a woman who wants to reach this type of position is better off waiting to have children , compared with 26 % of those without children under 18",A majority of women who have children under 18 ( 49 % ) say it is better for a woman who wants to reach high political office to have children while entering politics.,"About one - third ( 32 % ) of less educated women, compared with 21 % of college graduates, say a woman who wants to reach high political office should wait until she is well established in her career to have children.",BART,Gold Standard
7,6011,Russian Views of China and the U.S. Russians with afavorable view of,How have Russians' views of China and the U.S. changed?,dataset/images/6011.png,"China is gaining popularity in Russia as attitudes toward the U.S. turn sharply negative . In just the past two years , favorable views of China have jumped 17 percentage points among Russians , from 62 % in 2013 to an all - time high of 79 % today . Meanwhile , favorable views of the U.S. have taken a nosedive , falling from 51 % in 2013 , to 23 % in 2014 , to an all - time low of 15 % today .","China is gaining popularity in Russia as attitudes toward the U.S. turn sharply negative. In just the past two years, favorable views of China have jumped 17 percentage points among Russians, from 62 % in 2013 to an all - time high of 79 % today.","In just the past two years, favorable views of China have jumped 17 percentage points among Russians, from 62 % in 2013 to an all - time high of 79 % today",Gold Standard,T5
8,5930,Democrats now about as likely to sympathize with Palestinians as Israel side do you sympathize with more? (%) Democrats,Tell some information about Democrats now about as likely to sympathize with Palestinians as Israel side do you sympathize with more?,dataset/images/5930.png,"For the first time in Pew Research Center surveys , Democrats are about as likely to say they sympathize more with the Palestinians ( 31 % ) than with Israel ( 33 % ) ; 11 % say they sympathize with neither , while 8 % sympathize with both and 17 % do not offer an opinion . The share of Democrats who say they sympathize more with Israel is down 10 points from April 2016 . The share who say they sympathize more with the Palestinians is little changed from last April ( 29 % ) , but is up significantly from July 2014 when just 17 % said they sympathized more with the Palestinians . By contrast , Republicans continue to overwhelmingly say they sympathize more with Israel ( 74 % ) than the Palestinians ( 11 % ) . There has been little movement in views among Republicans in recent years , but the share who say they sympathize more with Israel is now higher than in the mid-2000s and prior . For example , in 2005 , 57 % of Republicans said they sympathized more with Israel in their dispute with the Palestinians . As a result of these trends , there is now a 41 - point gap between the shares of Republicans ( 74 % ) and Democrats ( 33 % ) who say they sympathize more with Israel .","For the first time in Pew Research Center surveys, Democrats are about as likely to say they sympathize more with the Palestinians ( 31 % ) than with Israel ( 33 % )","For the first time in Pew Research Center surveys, Democrats are about as likely to say they sympathize more with the Palestinians ( 31 % ) than with Israel ( 33 % ). The share of Democrats who say they empathize more With Israel is down 10 points from April 2016.",Gold Standard,BART
9,6004,"Changing Reactions to a Gay Child Ifyou had a child who told you he or she was gay or lesbian, what would your reaction be?",How has the public's reactions to a gay child changed?,dataset/images/6004.png,"nine - in - ten American adults ( 89 % ) said they would be upset if this happened , and just 9 % said they would not be . But views of homosexuality have shifted over time , and today nearly six - in - ten ( 57 % ) say they would not be upset if they had a child come out as gay or lesbian","three decades ago, most Americans felt it would be troubling to have a child tell them he or she was gay : In a 1985 Los Angeles Times survey, nine - in - ten American adults ( 89 % ) said they would be upset if this happened. But views of homosexuality have shifted over time, and today nearly six - In - ten ( 57 % ) say they would not be upset when they had a child come out as gay or lesbian.","Three decades ago, most Americans felt it would be troubling to have a child tell them he or she was gay : In a 1985 Los Angeles Times survey, nine - in - ten American adults ( 89 % ) said they would be upset if this happened, and just 9 % said they",Gold Standard,BART
